,clust,Customer ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
24,2,6392,1,0,0,0,27,0,0,0.0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,1,30.75,805.1,0.0,140,0.0,945.1
25,0,3453,1,0,1,1,11,0,1,29.54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19.95,214.75,0.0,0,324.94,539.69
26,1,363,1,0,1,2,55,2,1,42.82,1,1,2,27,0,1,1,0,0,0,0,0,0,1,0,85.45,4874.7,0.0,90,2355.1,7319.799999999999
27,2,217,1,0,0,0,3,5,1,9.22,1,1,2,14,0,1,0,0,0,0,0,1,0,1,0,81.35,233.7,0.0,0,27.660000000000004,261.36
28,2,3950,1,0,0,0,1,5,1,35.09,0,1,2,17,0,0,1,0,0,0,0,0,0,1,0,75.3,75.3,0.0,20,35.09,130.39
29,2,4424,1,0,0,0,5,5,0,0.0,0,1,1,26,0,1,0,0,0,0,0,1,0,0,0,28.45,131.05,0.0,0,0.0,131.05
30,2,3981,1,0,0,0,20,0,1,48.73,1,1,2,12,0,1,1,0,0,1,0,0,0,1,0,94.1,1782.4,0.0,80,974.5999999999999,2837.0
31,2,4221,1,0,1,4,5,5,1,45.76,1,1,2,22,0,0,0,0,0,0,0,1,0,1,0,74.35,334.8,0.0,0,228.79999999999998,563.6
32,2,157,1,0,1,2,27,0,1,7.02,0,1,0,25,1,0,0,0,0,0,0,1,0,1,0,75.2,1929.35,0.0,0,189.54,2118.89
33,2,1980,1,0,0,0,4,0,1,48.35,1,1,0,24,0,0,1,0,1,0,0,1,0,1,0,89.2,346.2,0.0,0,193.4,539.6
34,2,3681,1,0,0,0,1,0,1,45.81,1,1,2,21,0,0,0,0,1,0,0,1,0,1,0,85.7,85.7,0.0,0,45.81,131.51
35,1,2389,1,0,1,3,65,2,1,18.39,1,1,2,28,1,0,1,0,1,1,0,1,0,0,0,105.25,6786.4,0.0,0,1195.3500000000001,7981.75
36,2,3177,1,0,1,3,49,2,1,22.92,1,1,2,14,0,1,0,0,0,1,0,1,0,0,1,90.05,4547.25,0.0,0,1123.0800000000002,5670.33
37,1,3597,1,0,1,1,43,2,1,14.52,1,1,2,5,0,1,1,1,1,1,0,1,0,1,0,110.75,4687.9,0.0,0,624.36,5312.259999999999
38,1,3468,1,0,0,0,56,2,1,48.8,1,1,2,12,1,0,1,0,1,1,0,1,1,1,0,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999
39,1,1114,1,0,1,7,20,0,1,5.31,1,1,2,10,0,0,0,0,1,1,1,1,0,1,0,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001
40,2,4000,1,0,0,0,2,0,1,47.47,1,1,2,19,0,1,0,0,0,1,1,1,0,0,0,89.5,161.5,0.0,0,94.94,256.44
41,0,2918,1,0,0,0,8,0,1,27.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,387.9
42,2,559,1,0,0,0,52,0,0,0.0,0,1,1,18,0,1,0,0,1,1,1,0,0,1,0,49.15,2550.9,0.0,30,0.0,2580.9
43,2,40,1,0,0,0,2,0,1,43.99,0,1,1,27,1,0,0,0,0,0,0,1,0,1,0,49.25,91.1,0.0,0,87.98,179.07999999999998
44,2,3729,1,0,1,1,33,0,1,27.78,1,1,2,8,0,0,0,0,1,1,0,1,0,1,0,94.5,3105.55,0.0,0,916.74,4022.29
45,2,1850,1,0,0,0,30,0,1,45.88,1,1,2,19,1,1,1,0,0,0,0,1,0,0,1,91.7,2758.15,0.0,0,1376.4,4134.55
46,2,4743,1,0,0,0,20,0,1,44.44,1,1,2,13,0,0,1,0,1,1,0,0,0,1,0,98.55,1842.8,0.0,120,888.8,2851.6
47,1,474,1,0,0,0,46,0,1,2.37,1,1,2,20,1,1,1,0,1,1,1,1,1,1,0,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001
48,2,2547,1,0,1,1,7,0,1,21.91,1,1,0,11,0,0,0,0,1,1,0,1,0,1,0,95.6,644.35,0.0,0,153.37,797.72
49,2,6508,1,0,0,0,4,0,1,36.93,0,1,2,18,0,0,0,0,1,0,0,1,0,1,0,78.85,292.8,0.0,0,147.72,440.52
50,1,496,1,0,0,0,55,0,1,37.38,1,1,2,7,0,0,1,0,1,1,1,0,1,1,0,100.0,5509.3,0.0,100,2055.9,7665.200000000001
51,2,649,1,0,1,1,20,0,1,5.37,0,1,2,24,0,1,0,0,0,0,0,1,0,1,0,73.65,1463.5,0.0,0,107.4,1570.9
52,1,531,1,0,0,0,9,0,1,48.71,1,1,2,15,0,0,1,0,1,1,1,1,0,1,0,100.5,918.6,0.0,0,438.39,1356.99
53,2,1283,1,0,0,0,10,0,1,5.46,0,1,2,24,0,1,0,0,0,0,0,0,0,1,0,72.85,688.65,0.0,30,54.6,773.25
54,2,4620,1,0,0,0,1,0,1,36.92,1,1,2,6,0,0,0,0,0,0,0,1,0,1,0,73.55,73.55,0.0,0,36.92,110.47
55,2,5031,1,0,0,0,3,0,1,41.9,1,1,2,11,0,1,0,0,0,0,0,1,0,1,0,79.4,205.05,0.0,0,125.69999999999999,330.75
56,2,3336,1,0,0,0,4,0,1,6.68,1,1,0,17,0,0,0,0,0,1,0,1,0,1,0,84.6,360.1,0.0,0,26.72,386.82000000000005
57,1,5001,1,0,0,0,35,0,1,20.83,1,1,2,19,0,0,1,0,1,1,0,0,0,1,0,99.05,3395.8,0.0,120,729.05,4244.85
58,2,2951,1,0,0,0,2,5,1,26.62,0,1,1,11,0,0,0,0,0,0,0,1,0,0,1,44.95,85.15,0.0,0,53.24,138.39000000000001
59,2,6969,1,0,0,0,8,0,1,11.57,0,1,2,27,1,0,0,1,1,1,1,1,0,0,1,100.3,832.35,0.0,0,92.56,924.9100000000001
60,2,6305,1,0,1,2,44,0,0,0.0,0,1,0,28,0,1,0,0,0,0,0,1,0,1,0,30.35,1359.7,0.0,0,0.0,1359.7
61,1,4716,1,0,1,1,62,0,1,7.11,1,1,2,16,0,1,1,0,1,1,1,1,1,1,0,103.75,6383.35,0.0,0,440.82,6824.17
62,2,6593,1,0,1,1,33,0,1,33.19,1,1,0,15,0,1,0,0,0,0,0,1,0,1,0,80.6,2656.5,0.0,0,1095.27,3751.77
63,2,949,1,0,0,0,4,5,1,49.5,1,1,2,23,0,0,0,0,1,1,1,1,0,1,0,94.3,424.45,0.0,0,198.0,622.45
64,2,1338,1,0,1,1,27,0,1,10.6,1,1,2,23,0,0,0,0,0,0,0,1,0,1,0,75.5,1893.95,0.0,0,286.2,2180.15
65,2,3395,1,0,0,0,8,5,1,40.45,1,1,2,29,0,0,1,0,1,1,0,1,0,1,0,100.6,819.4,0.0,0,323.6,1143.0
66,2,2930,1,0,1,1,3,5,1,25.77,0,1,2,2,1,0,0,1,1,0,0,1,0,1,2,88.3,273.75,0.0,0,77.31,351.06
67,2,2914,1,0,0,0,8,5,1,42.93,0,1,2,9,0,0,1,0,1,1,0,1,0,1,0,92.1,729.95,0.0,0,343.44,1073.39
68,2,852,1,0,0,0,14,0,1,11.31,0,1,2,24,0,0,0,0,1,1,0,1,0,0,1,90.45,1266.1,0.0,0,158.34,1424.4399999999998
69,2,879,1,0,0,0,12,0,0,0.0,0,1,1,10,0,0,1,1,0,1,0,1,0,1,0,43.65,526.95,0.0,0,0.0,526.95
70,2,3097,1,0,0,0,13,0,1,40.37,0,1,2,21,0,0,1,0,0,0,0,1,0,1,0,74.3,940.35,0.0,0,524.81,1465.1599999999999
71,2,6357,1,0,0,0,11,0,1,3.96,0,1,2,27,0,0,0,0,1,1,0,1,0,0,0,89.7,1047.7,0.0,0,43.56,1091.26
72,1,5003,1,0,1,1,17,0,1,28.18,1,1,0,16,0,0,1,0,1,1,0,1,0,1,1,100.45,1622.45,0.0,0,479.06,2101.51
73,1,5770,1,0,1,1,39,0,1,33.25,1,1,2,26,0,1,1,0,1,1,1,1,0,1,0,105.65,4284.8,0.0,0,1296.75,5581.55
74,1,3754,1,0,1,5,11,0,1,17.25,1,1,2,27,0,0,1,1,1,1,0,1,0,1,0,104.05,1133.65,0.0,0,189.75,1323.4
75,2,2869,1,0,1,1,3,5,1,3.29,0,1,2,9,0,0,0,0,1,0,0,1,0,1,0,80.4,224.05,0.0,0,9.870000000000001,233.92000000000002
76,2,5957,1,0,0,0,21,0,1,34.62,0,1,1,14,0,0,1,0,1,0,0,1,0,1,0,60.05,1236.15,0.0,0,727.02,1963.17
77,2,3951,1,0,0,0,16,0,1,38.75,1,1,2,16,0,0,0,0,1,1,0,1,0,1,0,96.15,1529.2,0.0,0,620.0,2149.2
78,2,2933,1,0,0,0,46,0,1,6.13,0,1,2,30,0,1,0,0,1,1,0,1,1,0,1,95.25,4424.2,0.0,0,281.98,4706.18
79,1,4839,1,0,1,1,68,1,1,24.13,1,1,2,24,0,1,0,0,0,1,0,1,0,1,0,89.6,6127.6,0.0,0,1640.84,7768.4400000000005
80,2,6450,1,0,1,1,7,5,1,13.63,0,1,2,27,0,0,0,0,1,1,0,1,0,1,0,89.5,676.7,0.0,0,95.41000000000001,772.11
81,2,6025,1,0,1,1,15,0,1,45.25,1,1,0,22,0,0,0,0,0,1,0,1,0,1,0,85.6,1345.55,0.0,0,678.75,2024.3
82,2,2353,1,0,0,0,16,0,1,19.18,1,1,2,22,0,0,0,0,1,0,0,1,0,1,0,86.6,1281.0,0.0,0,306.88,1587.88
83,2,5121,1,0,0,0,1,5,1,29.68,0,1,0,18,0,0,0,0,0,0,0,1,0,1,0,69.25,69.25,0.0,0,29.68,98.93
84,2,1203,1,0,0,0,1,0,0,0.0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,25.2,25.2,0.0,0,0.0,25.2
85,2,2668,1,0,0,0,13,0,1,19.03,1,1,2,24,0,0,0,0,1,1,1,1,0,1,0,95.05,1290.0,0.0,0,247.39000000000001,1537.39
86,2,4653,1,0,0,0,1,0,1,20.06,0,1,2,24,0,0,0,0,1,0,0,1,0,1,0,79.2,79.2,0.0,0,20.06,99.26
87,1,6081,1,0,1,1,34,0,1,2.88,1,1,2,4,0,1,1,0,0,1,0,1,0,1,0,94.25,3217.55,0.0,0,97.92,3315.4700000000003
88,1,3852,1,0,0,0,4,0,1,12.68,0,1,2,10,0,1,1,0,1,1,1,1,0,1,1,99.8,442.85,0.0,0,50.72,493.57000000000005
89,2,4997,1,0,0,0,2,0,1,19.27,1,1,2,18,0,0,0,0,1,1,0,1,0,1,0,93.85,170.85,0.0,0,38.54,209.39
90,2,3810,1,0,0,0,9,0,1,30.8,1,1,2,18,0,0,0,0,0,1,0,1,0,1,1,84.4,732.5,0.0,0,277.2,1009.7
91,2,340,1,0,0,0,5,0,1,42.33,0,1,2,9,0,0,1,0,0,0,0,1,0,1,1,75.55,349.65,0.0,0,211.64999999999998,561.3
92,2,6911,1,0,0,0,22,4,1,40.18,1,1,2,8,0,0,0,0,1,1,1,0,0,1,0,96.7,2082.95,0.0,100,883.96,3066.91
93,2,2276,1,0,0,0,19,4,1,39.97,1,1,2,9,0,1,0,0,1,0,0,1,0,1,0,88.2,1775.8,0.0,0,759.43,2535.23
94,2,359,1,0,0,0,15,4,1,46.38,1,1,2,19,0,0,0,0,0,0,0,1,0,0,0,75.65,1146.65,0.0,0,695.7,1842.3500000000001
95,2,3726,1,0,0,0,1,0,1,11.34,1,1,2,20,0,0,0,0,0,0,0,1,0,1,0,74.7,74.7,0.0,0,11.34,86.04
96,2,451,1,0,0,0,1,0,0,0.0,0,1,1,26,0,0,0,0,0,0,0,0,0,1,2,25.8,25.8,0.0,20,0.0,45.8
97,2,1823,1,0,0,0,10,4,1,41.37,1,1,2,14,0,0,0,0,1,1,0,1,0,1,0,95.35,898.35,0.0,0,413.7,1312.05
98,2,5457,1,0,0,0,3,0,1,30.14,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,45.0,127.1,0.0,10,90.42,227.51999999999998
99,2,6607,1,0,1,1,12,4,1,6.97,0,1,2,19,0,0,0,0,0,1,0,1,0,1,0,80.45,950.2,0.0,0,83.64,1033.8400000000001
100,2,1900,1,0,0,0,2,0,1,6.51,0,1,2,11,0,1,0,0,0,0,0,1,0,1,0,74.7,165.4,0.0,0,13.02,178.42000000000002
101,2,2136,1,0,0,0,1,0,1,49.6,1,1,2,20,0,0,1,0,1,0,0,0,0,1,0,88.8,88.8,0.0,10,49.6,148.4
102,2,2916,1,0,1,1,13,4,1,1.47,0,1,2,5,0,1,0,1,0,1,0,1,0,1,0,89.05,1169.35,0.0,0,19.11,1188.4599999999998
103,2,5690,1,0,0,0,23,4,1,31.17,0,1,2,23,0,1,0,0,1,1,0,1,0,1,0,94.75,2293.6,0.0,0,716.9100000000001,3010.51
104,2,2972,1,0,1,1,17,4,1,36.82,1,1,2,6,1,0,1,0,0,0,0,1,0,1,0,85.35,1463.45,0.0,0,625.94,2089.3900000000003
105,2,3282,1,0,0,0,17,0,1,40.93,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,45.05,770.6,0.0,0,695.81,1466.4099999999999
106,2,6674,1,0,0,0,42,0,1,9.53,1,1,2,17,0,0,0,0,1,0,0,1,0,1,0,84.65,3541.35,0.0,0,400.26,3941.6099999999997
107,2,6054,1,0,0,0,1,0,1,42.3,0,1,2,16,0,0,0,0,1,0,0,1,0,1,0,79.1,79.1,0.0,0,42.3,121.39999999999999
108,2,3561,1,0,0,0,1,5,1,39.78,0,1,0,12,0,0,1,0,0,0,0,1,0,1,2,50.15,50.15,0.0,0,39.78,89.93
109,2,5939,1,0,0,0,1,5,1,34.51,0,1,2,15,0,0,0,0,0,0,0,1,0,1,0,69.6,69.6,0.0,0,34.51,104.10999999999999
110,1,5177,1,0,0,0,41,0,1,27.95,1,1,2,23,1,1,1,0,1,1,1,1,0,1,0,113.2,4689.5,0.0,0,1145.95,5835.45
111,2,5092,1,0,0,0,13,0,1,26.11,0,1,2,4,0,0,0,0,1,1,1,0,0,1,0,90.5,1201.15,29.84,140,339.43,1650.7400000000002
112,2,6766,1,0,1,1,32,0,1,5.99,1,1,2,23,0,0,0,0,0,1,1,1,0,1,0,85.0,2642.05,49.57,0,191.68,2784.16
113,2,2470,1,0,1,1,32,0,1,49.6,1,1,2,10,0,0,0,0,0,1,1,1,0,0,0,85.3,2661.1,0.0,0,1587.2,4248.3
114,2,2186,1,0,1,1,57,0,0,0.0,0,1,0,3,0,0,0,0,1,1,1,1,0,1,0,44.85,2572.95,12.07,0,0.0,2560.8799999999997
115,2,5742,1,0,0,0,1,5,1,15.28,0,1,0,14,0,0,0,0,0,0,0,1,0,0,0,45.1,45.1,0.0,0,15.28,60.38
116,2,4762,1,0,0,0,1,5,0,0.0,0,1,1,26,0,1,1,0,0,1,0,1,0,1,0,43.3,43.3,0.0,0,0.0,43.3
117,2,3143,1,0,0,0,38,0,1,26.1,0,1,1,27,1,1,0,0,0,0,0,1,0,1,1,57.15,2250.65,0.0,0,991.8000000000001,3242.4500000000003
118,1,6248,1,0,1,1,35,0,1,15.98,1,1,0,22,1,1,0,1,1,0,0,1,0,1,0,100.5,3653.35,0.0,0,559.3000000000001,4212.65
119,2,2941,1,0,0,0,1,5,1,15.24,0,1,1,14,0,0,0,0,0,0,0,1,0,0,1,45.1,45.1,0.0,0,15.24,60.34
120,2,5521,1,0,1,1,30,0,1,4.65,0,1,1,29,0,1,0,0,0,0,0,1,0,1,0,50.4,1527.5,0.0,0,139.5,1667.0
121,2,4749,1,0,0,0,5,5,1,12.27,0,1,2,20,0,0,0,0,0,1,0,1,0,0,0,78.95,378.4,0.0,0,61.349999999999994,439.75
122,2,6681,1,0,0,0,1,5,1,30.17,1,1,2,6,0,0,0,0,1,1,0,1,0,1,0,93.55,93.55,0.0,0,30.17,123.72
123,1,2396,1,0,1,1,58,0,1,49.38,1,1,2,19,1,1,1,0,1,1,0,1,1,1,0,108.85,6287.25,0.0,0,2864.04,9151.29
124,2,3146,1,0,0,0,16,0,1,17.51,1,1,2,7,0,0,0,0,1,0,0,1,0,1,0,84.75,1350.15,0.0,0,280.16,1630.3100000000002
125,2,5678,1,0,0,0,1,5,1,22.5,0,1,2,27,0,0,0,0,0,0,0,0,0,1,0,69.95,69.95,0.0,10,22.5,102.45
126,2,3360,1,0,1,1,5,5,1,47.28,1,1,2,11,0,1,0,0,0,0,0,0,0,1,0,81.0,371.65,40.64,10,236.4,577.41
127,2,7020,1,0,0,0,21,0,1,42.27,0,1,2,7,0,0,1,0,1,1,0,1,0,1,0,96.8,2030.3,10.2,0,887.6700000000001,2907.77
128,1,4385,1,0,0,0,43,0,1,31.83,0,1,2,10,1,1,0,1,1,1,0,1,0,1,1,108.15,4600.7,0.0,0,1368.6899999999998,5969.389999999999
129,2,5892,1,0,1,1,32,0,1,33.74,1,1,2,6,0,0,0,0,1,1,0,1,0,1,0,93.2,2931.0,17.88,0,1079.68,3992.8
130,2,5718,1,0,0,0,1,5,1,18.2,0,1,2,13,0,0,0,0,0,0,0,1,0,1,0,70.55,70.55,0.0,0,18.2,88.75
131,1,2830,1,0,1,1,29,0,1,25.78,1,1,2,28,0,0,1,0,1,1,1,0,0,1,0,98.5,3004.15,37.55,40,747.62,3754.22
132,1,6398,1,0,1,1,13,0,1,31.7,1,1,0,6,0,0,0,0,1,1,1,1,0,1,0,95.25,1233.65,48.09,0,412.09999999999997,1597.66
133,2,6139,1,0,1,1,7,0,1,8.92,1,1,2,17,0,0,0,0,0,0,0,1,0,1,1,74.4,527.9,32.46,0,62.44,557.88
134,2,3288,1,0,0,0,2,0,1,21.57,1,1,2,28,0,0,1,0,0,1,1,1,0,1,0,88.55,179.25,0.0,0,43.14,222.39
135,2,2804,1,0,0,0,1,0,1,43.61,0,1,2,2,0,0,0,0,1,1,1,1,0,1,0,91.3,91.3,0.0,0,43.61,134.91
136,2,4200,1,0,1,1,7,0,1,16.05,0,1,2,22,0,0,0,0,0,0,0,1,0,1,1,70.1,467.55,20.23,0,112.35000000000001,559.67
137,1,2244,1,0,1,1,57,0,1,49.91,1,1,2,21,0,1,1,0,0,1,0,1,0,1,0,95.25,5427.05,12.59,0,2844.87,8259.33
138,2,5126,1,0,1,4,1,0,1,17.35,1,1,2,23,0,0,1,0,1,1,0,1,0,1,0,100.8,100.8,0.0,0,17.35,118.15
139,2,1737,1,0,1,2,17,0,1,1.05,0,1,2,8,0,1,0,0,0,0,0,1,0,1,0,76.45,1233.4,0.0,0,17.85,1251.25
140,2,2910,1,0,0,0,3,0,1,18.38,0,1,2,20,0,0,1,0,1,0,0,1,0,1,0,86.85,220.95,0.0,0,55.14,276.09
141,1,1090,1,0,1,1,66,1,1,28.86,1,1,2,25,0,0,1,0,1,1,0,1,0,1,1,99.5,6822.15,0.0,0,1904.76,8726.91
142,1,3862,1,0,1,1,69,1,1,48.88,1,1,2,4,0,1,1,1,1,1,0,1,2,1,0,108.4,7318.2,0.0,0,3372.7200000000003,10690.92
143,2,1905,1,0,1,2,15,0,1,44.13,1,1,2,3,0,0,1,1,0,0,0,0,0,1,0,83.05,1258.3,0.0,110,661.95,2030.25
144,1,3216,1,0,0,0,56,0,1,34.58,1,1,2,4,0,1,1,0,1,1,0,1,1,1,0,104.75,5510.65,0.0,0,1936.48,7447.129999999999
145,2,2874,1,0,0,0,21,0,1,21.15,1,1,2,9,0,0,0,0,1,1,0,1,0,1,0,94.25,1973.75,0.0,0,444.15,2417.9
146,2,1248,1,0,0,0,1,0,1,47.97,0,1,2,8,0,0,0,0,0,0,0,1,0,1,0,70.15,70.15,0.0,0,47.97,118.12
147,1,2645,1,0,1,3,32,0,1,7.92,1,1,2,3,0,1,1,0,1,1,0,1,0,0,0,106.35,3520.75,0.0,0,253.44,3774.19
148,1,6976,1,0,1,1,40,0,1,49.5,1,1,2,20,0,0,0,0,1,1,1,1,0,1,1,94.55,3640.45,0.0,0,1980.0,5620.45
149,2,5877,1,0,0,0,2,0,0,0.0,0,1,1,6,0,0,0,0,0,0,0,1,0,1,1,24.45,47.5,0.0,0,0.0,47.5
150,2,1497,1,0,0,0,7,0,1,39.51,1,1,2,13,0,0,0,0,1,0,0,0,0,1,0,84.8,546.95,0.0,0,276.57,823.52
151,1,863,1,0,0,0,31,0,1,39.36,1,1,2,4,0,1,0,0,1,1,0,1,0,1,0,99.95,3186.65,0.0,0,1220.16,4406.81
152,1,6500,1,0,0,0,14,0,1,29.96,1,1,2,7,0,1,1,0,1,1,0,1,0,1,0,104.85,1531.4,0.0,0,419.44,1950.8400000000001
153,2,4179,1,0,0,0,15,0,1,23.53,1,1,2,9,0,0,0,0,0,0,0,1,0,1,1,74.2,1133.9,43.31,0,352.95000000000005,1443.5400000000002
154,2,268,1,0,0,0,59,0,1,10.78,1,1,2,15,0,0,0,0,1,1,0,1,0,1,0,93.85,5574.75,8.13,0,636.02,6202.639999999999
155,1,5430,1,0,1,3,46,0,1,49.11,1,1,2,17,1,1,1,0,1,0,0,1,0,1,0,100.7,4541.2,46.64,0,2259.06,6753.619999999999
156,2,6307,1,0,0,0,25,0,1,36.36,1,1,2,6,0,1,0,0,0,1,0,1,0,1,0,89.7,2187.55,23.33,0,909.0,3073.2200000000003
157,2,5866,1,0,0,0,16,0,1,32.11,1,1,2,14,0,0,0,0,1,1,0,1,0,1,0,96.4,1581.2,47.2,0,513.76,2047.76
158,2,3679,1,0,0,0,1,0,1,41.2,0,1,2,15,0,0,0,0,0,0,0,0,0,1,0,69.5,69.5,0.0,80,41.2,190.7
159,2,3821,1,0,1,1,36,0,1,24.54,1,1,2,5,0,0,0,0,0,1,1,1,0,1,1,85.25,3132.75,0.0,0,883.4399999999999,4016.19
160,2,18,1,0,0,0,45,0,1,10.67,0,1,1,17,1,0,1,0,0,1,0,1,1,0,1,62.7,2791.5,0.0,0,480.15,3271.65
161,1,3616,1,0,0,0,25,3,1,46.34,1,1,2,22,0,1,1,0,1,1,0,1,0,0,1,105.95,2655.25,0.0,0,1158.5,3813.75
162,2,2288,1,0,0,0,39,3,1,41.93,1,1,2,23,0,0,0,0,1,1,0,0,0,1,0,95.65,3759.05,0.0,150,1635.27,5544.32
163,1,228,1,0,1,1,31,3,1,47.95,0,1,2,21,0,0,1,1,1,1,0,1,0,1,0,98.9,2911.3,0.0,0,1486.45,4397.75
164,2,5366,1,0,0,0,3,0,1,30.25,1,1,2,28,0,0,0,0,0,0,0,1,0,1,0,76.05,231.8,0.0,0,90.75,322.55
165,2,3935,1,0,0,0,1,0,1,33.84,0,1,2,5,0,0,0,0,0,0,0,1,0,1,0,69.75,69.75,0.0,0,33.84,103.59
166,1,2331,1,0,0,0,33,3,1,17.24,1,1,2,25,0,1,1,1,1,1,1,0,0,1,0,110.45,3655.45,0.0,70,568.92,4294.37
167,1,4871,1,0,1,1,7,0,1,42.92,1,1,2,2,0,0,1,0,1,1,1,1,0,1,0,99.25,665.45,0.0,0,300.44,965.8900000000001
168,2,2990,1,0,0,0,19,0,1,16.78,1,1,2,15,0,0,1,0,0,0,0,1,0,1,0,79.85,1471.75,0.0,0,318.82000000000005,1790.5700000000002
