,clust,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
65,1,6474,4,2930.693543,0,0,1,20,1,1,33663,1,1,73,29,71,0,1,1,5,2,3,350.4,0,1
66,2,1904,3,8672.194272,0,0,1,15,1,0,22547,1,0,112,7,60,0,3,0,2,0,0,537.6,3,1
67,2,1227,0,11638.66926,0,1,3,21,1,0,61486,2,1,97,5,65,0,2,1,5,3,1,465.258644,5,2
68,0,2423,3,6846.150323,1,1,0,16,4,0,0,1,0,95,13,20,0,5,1,5,0,2,456.0,5,0
69,2,6279,1,11727.77648,0,2,1,57,0,0,29879,1,1,102,17,0,0,2,1,5,2,3,500.254235,0,1
70,1,5571,3,22643.83478,0,0,3,40,1,1,93011,0,0,113,17,12,0,2,1,5,3,0,281.451042,3,1
71,1,4419,3,2614.474305,0,0,4,24,1,1,65186,0,1,65,29,27,0,1,1,4,1,3,5.434505,5,0
72,1,2761,3,2451.752695,0,0,4,26,2,1,26840,1,1,64,1,47,2,1,1,3,0,0,307.2,0,1
73,0,2477,3,6781.270203,0,0,0,48,4,1,0,1,2,104,30,3,1,5,1,5,0,0,982.399613,4,1
74,1,510,3,4974.801539,1,0,0,6,1,1,75644,1,0,65,5,68,3,9,1,5,1,1,467.803638,5,1
75,1,8743,3,8591.604933,0,0,0,24,1,1,38984,1,1,73,27,38,0,2,1,5,1,1,350.4,0,2
76,2,1361,3,5592.161392,0,0,3,8,1,0,71811,0,2,71,17,48,0,6,1,3,1,2,29.03416,0,1
77,1,8382,2,8009.472833,0,0,1,30,1,1,20961,1,1,67,20,33,0,2,1,3,1,0,321.6,0,1
78,1,4031,4,11318.08982,0,1,1,52,1,1,38923,0,1,99,6,83,2,2,1,5,0,0,115.728852,0,1
79,1,5077,1,58166.55351,0,0,0,43,1,1,61321,0,2,186,0,30,1,2,1,5,1,1,427.63121,1,2
80,0,9049,1,8025.229358,0,1,1,15,4,0,0,0,2,77,20,26,0,2,1,5,2,1,25.807685,5,0
81,1,7468,1,5780.182197,1,0,3,42,1,1,51066,1,2,74,23,0,0,8,1,5,1,2,787.993313,0,1
82,1,1289,1,4118.539113,0,0,2,16,1,1,34378,1,1,102,12,54,0,1,1,3,2,1,489.6,3,1
83,1,8566,2,2523.07015,0,0,4,4,1,1,43072,1,1,63,35,15,0,1,1,5,1,2,302.4,0,0
84,2,6524,3,6554.216396,0,1,1,16,0,0,25222,1,2,90,28,69,0,3,1,5,1,0,475.623251,0,2
85,1,2539,4,7703.397294,0,0,3,44,1,1,36765,1,1,66,15,32,1,2,1,4,0,2,320.849072,0,1
86,1,1624,1,5926.729379,1,1,1,14,3,1,23091,1,1,96,28,90,5,5,1,3,0,0,460.8,0,1
87,2,5626,1,2683.470677,0,0,0,0,1,0,48269,2,1,69,3,79,3,1,0,1,2,3,282.151207,0,1
88,2,795,3,2695.182419,0,0,0,8,1,0,32720,1,0,67,13,12,0,1,1,4,2,1,321.6,0,1
89,1,5022,1,6047.02516,1,1,1,34,1,1,20396,1,1,76,15,60,1,4,1,5,0,1,364.8,0,1
90,1,3474,3,13171.01282,0,2,1,16,2,1,21513,1,1,119,21,81,1,2,1,5,1,1,679.827592,5,2
91,2,4970,4,10656.88195,1,1,0,43,1,0,72540,1,1,88,7,3,0,2,0,2,1,2,631.743039,5,1
92,2,1019,3,2527.653796,0,0,0,5,1,0,80744,0,1,63,24,84,0,1,0,2,0,0,11.879037,0,1
93,1,7846,3,2672.095756,0,0,0,22,1,1,52822,1,1,67,23,88,0,1,0,0,0,1,350.529033,5,2
94,0,5084,1,5313.294035,0,1,3,13,4,0,0,1,2,77,8,10,1,9,1,4,0,0,863.3947,0,1
95,2,6944,3,20946.19251,0,0,0,40,1,0,69738,1,1,74,2,26,1,2,1,5,0,1,492.127532,0,0
96,2,3605,0,8375.353929,0,0,4,30,2,0,17780,0,1,109,12,18,0,9,1,5,0,1,132.588288,3,1
97,1,4890,1,4801.661503,0,0,0,31,2,1,18107,1,1,62,29,11,0,8,1,4,0,0,297.6,0,1
98,2,6054,0,5745.94334,0,0,0,11,1,0,57740,2,1,74,30,87,3,9,1,3,2,3,269.905129,0,1
99,1,2111,3,6066.115969,0,1,1,41,1,1,32627,1,1,76,11,60,0,7,1,4,0,0,380.036697,5,2
100,0,7093,1,8002.308333,1,0,1,23,4,0,0,1,1,107,3,65,0,3,1,5,0,0,513.6,3,1
101,0,22,1,2393.915369,1,0,1,20,4,1,0,1,2,70,24,10,0,1,1,3,0,1,425.266308,0,1
102,1,8224,3,4762.8179,0,0,0,25,1,1,65795,0,2,62,2,85,1,3,0,2,2,2,49.011099,5,1
103,1,1657,1,4330.38602,1,2,1,31,1,1,60475,1,1,107,9,18,0,1,1,5,1,1,513.6,0,1
104,0,7188,1,9402.729769,0,1,3,58,4,0,0,1,2,130,28,88,0,4,1,5,0,3,936.0,3,1
105,2,6856,3,6966.694527,0,1,0,7,1,0,41837,0,1,88,29,93,0,9,1,5,0,2,142.062768,0,2
106,2,4457,1,7694.064293,0,0,0,47,1,0,32303,0,1,65,13,34,0,2,1,3,2,1,45.152521,0,1
107,0,1091,3,8717.561149,0,0,3,57,4,1,0,1,1,117,5,89,1,3,1,3,0,0,561.6,3,1
108,2,1574,1,5928.748528,0,0,0,16,1,0,40531,0,1,74,17,32,0,9,1,5,0,0,30.567357,5,1
109,1,2404,3,2452.977288,0,0,1,29,1,1,79898,2,1,62,5,86,1,1,0,0,3,0,271.606799,0,1
110,1,7822,1,6701.571657,0,1,1,43,1,1,56398,1,1,85,4,18,0,7,1,5,3,0,408.0,0,2
111,1,8663,4,7556.24034,0,1,3,26,1,1,35257,1,0,98,16,2,1,8,0,1,1,3,470.4,0,2
112,1,4434,0,8492.6988,0,0,1,42,1,1,27804,1,1,109,19,54,0,7,1,5,1,1,784.8,3,1
113,1,3683,3,7713.494046,0,0,0,36,1,1,45506,1,2,66,16,32,2,2,1,5,0,0,316.8,0,1
114,1,912,4,24084.5352,0,0,3,35,1,1,65196,1,1,67,0,54,0,2,1,4,3,1,396.082036,0,1
115,0,3259,1,7290.069769,0,0,3,30,4,1,0,1,1,102,11,70,1,3,0,1,0,0,489.6,3,1
116,1,7438,3,4772.943848,1,1,3,33,3,1,20993,1,0,133,35,90,0,1,1,5,1,0,638.4,3,1
117,1,5208,0,6806.491395,0,1,3,10,1,1,37839,1,1,86,35,77,0,9,1,5,1,1,465.633954,5,1
118,2,6443,1,2469.781334,0,0,0,3,1,0,92711,1,2,62,24,10,0,1,1,4,2,0,368.400146,5,1
119,2,5108,1,3103.923041,0,1,1,50,1,0,74665,2,1,78,10,90,2,1,0,1,1,2,236.902001,0,1
120,0,8687,4,2981.875575,0,1,1,40,4,1,0,1,1,83,26,89,0,1,1,4,2,3,582.679087,5,1
121,1,989,1,8902.737595,0,0,0,49,1,1,46833,0,1,112,6,3,0,9,1,5,0,2,64.109663,4,1
122,2,1335,3,5499.447223,0,0,3,17,1,0,88768,1,1,68,17,77,0,7,1,5,2,1,326.4,5,2
123,1,6391,1,15023.59858,0,0,3,25,1,1,28262,1,2,192,9,77,0,3,1,5,2,3,921.6,2,1
124,2,1525,2,2509.107875,0,0,0,31,1,0,33555,0,1,63,17,11,0,1,1,5,0,0,101.89645,0,1
125,1,1848,3,31221.7481,0,2,1,45,1,1,42780,1,0,113,10,27,1,2,1,4,0,2,542.4,0,1
126,2,8088,3,3133.503432,0,1,4,54,1,0,58850,0,2,78,20,26,0,1,1,5,1,1,143.747794,0,1
127,1,2308,0,3837.451863,0,1,1,1,1,1,21880,2,1,97,29,37,0,1,2,7,0,1,424.077159,0,1
128,1,5693,3,11790.49617,1,0,1,45,3,1,25251,1,0,66,13,43,0,2,1,4,1,3,316.8,0,1
129,0,5983,4,7838.068321,0,0,4,32,4,0,0,0,1,69,9,12,0,2,1,3,1,0,2.704934,0,1
130,1,7102,0,4305.808345,0,0,3,10,1,1,24188,1,1,109,14,82,0,1,1,5,0,0,523.2,4,1
131,2,2042,2,5973.976904,0,0,0,15,1,0,41611,0,1,74,14,8,0,8,2,7,0,1,113.801497,0,1
132,2,5608,3,5670.442396,0,0,0,20,1,0,28406,2,1,72,16,35,1,4,1,5,0,2,192.87572,0,1
133,1,6873,0,4731.749346,0,2,1,27,1,1,69833,1,1,118,32,99,0,1,1,5,0,0,828.662719,0,2
134,0,592,0,8026.379641,0,0,3,54,4,0,0,1,2,74,15,91,0,2,0,1,0,3,532.8,0,2
135,0,4472,0,4022.963529,0,0,3,15,4,1,0,1,2,117,6,1,0,1,1,5,0,0,975.107098,3,1
136,2,5505,3,9618.310865,0,0,3,23,1,0,80536,0,1,119,5,83,0,3,2,7,0,1,53.798708,4,1
137,0,5989,4,2274.775451,0,0,1,3,4,0,0,1,2,63,2,5,0,1,1,4,1,0,606.642452,0,2
138,2,6610,3,9552.926922,0,1,1,56,1,0,97732,2,1,79,0,70,0,2,1,5,3,1,289.9122,0,1
139,2,323,0,10388.55323,0,1,0,23,1,0,61222,2,2,89,20,55,0,2,2,8,2,1,392.604371,0,2
140,0,1281,3,2470.121222,0,0,1,57,4,1,0,1,2,74,7,20,0,1,1,3,3,3,721.242206,5,0
141,1,5046,0,5619.068508,0,2,4,48,1,1,50335,2,1,140,9,54,0,1,1,4,0,2,456.52385,3,1
142,0,4079,1,9047.119209,0,1,3,10,4,0,0,1,2,127,30,11,0,6,1,4,2,1,1087.995426,4,1
143,1,8722,4,6692.143668,0,2,3,31,1,1,63221,1,1,168,28,49,0,1,0,2,2,0,806.4,3,1
144,0,4006,3,3731.504584,1,1,3,40,4,0,0,1,1,96,31,34,0,1,1,3,0,0,460.8,0,0
145,1,9046,2,3660.770258,0,1,0,6,1,1,64495,2,1,92,34,30,0,1,0,1,3,3,251.992083,0,1
146,0,319,1,7928.829252,0,0,1,19,4,0,0,1,1,72,7,75,0,2,0,2,0,2,345.6,0,1
147,2,8118,0,5011.751577,0,0,0,57,1,0,28859,1,0,67,24,51,3,4,0,1,0,2,321.6,5,1
148,2,8466,0,7988.258292,0,1,3,8,1,0,77330,0,1,99,0,21,0,3,1,5,1,3,99.257608,0,1
149,0,1495,3,3885.456401,1,2,1,44,4,1,0,1,1,105,3,92,0,1,0,1,0,1,504.0,0,0
150,1,2172,4,2659.337982,0,0,0,20,1,1,24495,1,2,70,29,65,0,1,1,4,3,1,336.0,0,2
151,1,7699,4,8564.768226,1,0,3,32,1,1,95697,0,1,107,29,29,0,9,1,5,1,0,178.006524,4,1
152,1,5296,0,4885.162511,0,1,3,26,0,1,26372,1,1,126,11,7,0,1,1,5,3,0,604.8,3,1
153,2,568,0,9753.307106,0,1,0,40,2,0,17514,0,1,127,2,5,0,3,1,3,0,1,8.312729,3,1
154,2,8602,1,2946.153697,0,0,0,8,1,0,89270,2,2,74,17,90,0,1,1,5,1,1,316.599228,0,1
155,1,4791,1,2581.110945,0,0,3,52,1,1,29757,1,1,65,13,55,0,1,1,4,1,3,312.0,0,2
156,1,5995,3,3517.385764,0,1,1,12,1,1,51814,0,2,92,28,89,0,1,1,4,2,0,56.300724,0,1
157,2,694,3,9743.350113,0,1,0,10,1,0,24028,1,1,82,14,27,0,2,1,4,1,0,393.6,0,2
158,1,3501,0,3873.647046,1,0,1,9,3,1,28142,1,1,105,18,50,0,1,1,5,1,0,701.708239,4,1
159,2,5158,0,7649.28199,0,0,0,51,1,0,52705,0,1,64,14,8,1,2,1,4,0,3,128.705563,5,0
160,0,4624,1,2287.59692,0,0,3,38,4,1,0,1,1,63,1,5,0,1,0,2,1,0,679.368378,5,1
161,2,4375,4,4475.424592,0,0,1,43,1,0,84903,2,1,111,7,63,0,1,1,3,0,0,497.126827,3,1
162,0,8588,1,8714.922135,1,0,1,37,4,0,0,1,0,118,14,64,0,4,1,5,0,0,566.4,3,1
163,0,3353,4,2248.449633,1,0,0,18,3,0,24910,1,2,63,7,63,1,1,1,3,0,1,347.857619,0,1
164,0,2614,1,7416.197322,0,1,0,38,4,1,0,1,2,77,15,12,2,2,1,5,0,0,554.4,0,1
165,1,6066,3,7771.158973,0,0,4,37,2,1,21876,1,1,68,12,28,0,2,1,5,0,0,465.41477,0,2
166,0,2844,1,6968.3419,0,0,0,21,4,0,0,1,2,69,33,61,1,2,1,5,0,0,496.8,0,2
167,0,384,1,4250.282624,1,0,3,6,4,0,0,1,2,61,17,1,1,7,1,3,0,0,292.8,0,2
168,2,2720,3,19776.56654,0,1,3,4,1,0,70699,2,0,82,1,57,0,2,1,4,2,0,256.813837,0,1
169,0,6750,1,21343.46599,0,0,3,51,4,0,0,1,1,74,11,85,1,2,1,4,0,0,355.2,0,1
170,1,6897,1,2413.139714,0,0,1,16,2,1,27501,1,1,63,20,0,0,1,1,3,3,1,542.319401,0,1
171,2,4071,3,15363.84716,0,2,2,3,0,0,15897,2,0,101,30,99,0,2,1,5,1,0,303.148399,0,1
172,2,5834,2,8456.961887,0,0,1,57,1,0,25141,0,0,73,12,4,1,2,1,5,2,0,25.438063,0,1
173,0,4972,2,2189.642522,0,0,1,17,4,0,0,1,1,61,5,46,3,1,1,4,2,0,292.8,0,2
174,1,1330,1,5780.182197,1,0,3,42,1,1,51066,1,2,74,23,0,0,8,1,4,1,2,787.993313,0,1
175,2,19,1,4639.981638,0,0,0,47,1,0,28358,0,1,117,24,37,0,1,1,4,1,2,84.024413,4,1
176,2,6213,4,4465.335703,0,0,1,8,1,0,61846,0,1,112,1,48,0,1,1,4,1,0,215.8182,3,1
177,2,3041,0,5968.118877,0,0,0,16,1,0,90972,2,1,74,3,47,0,8,1,5,1,2,232.926145,5,1
178,0,3109,4,5097.763337,0,0,1,29,4,0,0,1,2,74,3,95,0,7,1,5,2,3,532.8,5,1
179,2,2571,1,4076.634665,0,0,0,12,1,0,29549,1,0,104,17,51,0,1,1,4,1,2,710.433775,4,2
180,0,3068,1,12252.60179,0,2,0,33,4,0,0,1,1,115,12,17,1,2,1,4,0,0,552.0,0,1
181,2,3527,2,16936.27147,0,1,0,13,1,0,39411,1,1,217,4,29,2,4,1,5,2,1,1122.658899,1,1
182,1,5302,3,4892.435461,0,0,3,33,1,1,21709,1,1,62,28,17,0,3,1,4,1,1,408.374746,0,0
183,1,4717,2,9942.304791,0,1,0,7,1,1,67890,1,2,85,23,57,0,2,1,4,3,0,408.0,0,2
184,0,10,1,3735.838129,0,0,0,47,4,1,0,1,2,110,3,16,0,1,1,5,0,0,792.0,3,1
185,2,5251,1,13117.52215,0,0,3,54,1,0,84311,1,2,111,11,98,4,2,1,5,2,2,532.8,3,2
186,2,7064,1,4574.524094,0,0,1,19,1,0,99316,1,2,114,26,53,0,1,0,2,1,1,754.358929,3,1
187,2,8287,0,5470.060561,1,1,0,32,1,0,54507,1,1,138,20,11,0,1,1,3,1,0,702.990032,3,1
188,2,2266,1,2978.84601,0,1,0,1,1,0,64586,2,2,76,3,17,0,1,1,3,2,1,206.837111,0,1
189,1,6235,3,6410.967544,0,1,1,56,1,1,61709,2,1,82,5,41,2,7,1,5,2,1,275.395894,0,1
190,1,2922,1,4479.023088,0,0,4,18,1,1,94656,2,1,111,12,79,1,1,2,7,3,3,459.738128,3,1
191,0,8218,1,2383.731879,0,0,3,50,4,0,0,1,2,69,5,40,0,1,2,8,3,1,496.8,5,2
192,1,6893,1,2764.493659,0,0,0,9,1,1,61085,1,1,70,27,34,1,1,1,5,1,1,336.0,5,1
193,2,1558,3,7920.105377,0,0,0,16,1,0,89284,1,1,67,7,31,3,2,1,4,3,0,321.6,5,2
194,0,1532,0,6889.097981,0,0,3,57,4,0,0,1,0,63,6,12,0,2,1,4,0,1,302.4,0,2
195,2,8591,4,3274.194616,0,1,0,23,1,0,31686,1,1,81,11,33,0,1,1,5,0,0,430.994107,0,2
196,1,312,3,9951.707743,0,2,3,32,1,1,56855,1,2,255,12,1,0,1,0,2,3,3,1836.0,2,1
197,1,9079,3,2521.555686,0,0,0,31,1,1,53703,0,2,67,3,45,2,1,2,8,0,1,67.632476,0,1
198,0,1456,4,23706.11337,0,1,3,22,4,0,0,1,2,96,12,35,1,2,1,3,2,1,844.481918,5,1
199,1,4525,1,6047.02516,1,1,1,34,1,1,20396,1,1,76,15,60,1,4,1,3,0,1,364.8,0,1
200,2,6457,1,11140.30248,0,2,4,10,0,0,27679,1,2,150,30,28,0,3,1,3,0,2,722.486994,3,1
201,0,6222,2,4334.064096,1,1,0,43,3,0,23904,1,2,123,1,67,3,1,1,5,0,0,590.4,3,1
202,2,7209,0,2799.74791,0,0,3,48,1,0,65351,1,1,69,4,54,0,1,0,0,1,2,481.027516,0,1
203,0,9095,1,7923.136624,0,0,1,6,4,1,0,1,2,113,20,1,0,7,1,4,0,0,1124.427734,3,1
204,0,1893,1,3688.110888,0,0,3,46,4,1,0,1,2,63,0,54,3,7,1,4,0,2,669.682001,0,1
205,0,6896,1,12067.45599,0,0,1,27,4,1,0,1,2,116,14,35,0,2,1,4,0,0,1284.093173,3,1
206,2,8394,1,2924.976721,0,0,1,57,1,0,64459,2,1,72,16,64,0,1,1,3,1,1,240.259479,0,1
207,1,6338,1,15014.0927,0,2,1,7,1,1,32961,1,1,190,13,53,0,3,0,1,0,1,912.0,3,2
208,2,5224,3,9277.233839,0,0,3,23,1,0,71416,1,0,116,10,0,0,3,0,2,1,0,556.8,3,1
209,2,415,4,6274.123875,0,1,0,20,1,0,68964,0,1,78,15,6,0,3,1,5,2,3,115.086827,0,1
210,1,3010,1,3886.647414,0,1,3,23,1,1,78108,1,2,98,12,34,0,1,1,5,1,0,470.4,5,2
211,0,3916,1,4386.277558,1,0,1,24,3,1,10621,1,2,67,28,22,0,5,2,8,0,0,321.6,0,1
212,1,3811,4,11365.26766,0,1,1,11,1,1,84910,2,1,95,4,69,0,2,0,2,1,3,383.167471,5,2
213,2,1722,1,5610.96434,0,0,3,40,1,0,77493,2,2,70,2,35,0,3,2,8,0,0,307.963291,0,1
214,1,8252,0,2912.892035,0,0,1,44,1,1,81097,1,0,74,7,67,0,1,1,3,3,0,355.2,0,2
215,2,8217,3,6915.729915,0,1,1,14,1,0,96610,1,1,85,6,23,0,3,0,0,3,2,520.364752,0,0
216,1,696,3,6262.663307,0,2,1,42,1,1,30110,2,1,159,20,71,0,1,0,2,3,0,466.436375,4,2
217,2,3063,3,6503.397049,1,1,3,34,0,0,22081,1,1,84,1,9,0,6,2,8,0,0,451.670309,5,2
218,0,3826,4,8007.399376,1,0,3,27,4,0,0,1,0,112,12,93,0,3,1,5,0,3,537.6,4,1
219,1,867,1,2929.916512,0,0,1,27,1,1,98473,1,1,72,19,69,0,1,1,3,1,1,345.6,0,1
220,2,3985,3,5969.55297,0,0,0,15,1,0,97431,1,1,74,1,72,0,3,1,4,2,1,355.2,0,1
221,1,1081,1,5473.15987,0,0,0,35,1,1,93870,1,0,69,1,96,0,8,1,4,0,2,331.2,0,1
222,1,8685,2,5645.396665,0,0,3,43,1,1,50366,1,0,72,9,5,0,9,1,3,0,2,428.734656,0,2
223,1,7151,4,6369.262355,1,1,3,9,1,1,34498,1,2,83,30,72,0,7,1,5,1,1,398.4,5,2
224,2,6706,3,11833.76732,0,0,1,5,0,0,16552,1,1,103,23,53,0,2,1,5,1,2,494.4,3,2
225,2,5972,3,6121.107929,0,1,1,5,1,0,26787,1,1,77,7,50,0,5,1,5,2,1,369.6,0,1
