,clust,Award?,ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
88,0,0,91,62553,0,2,1,1,7672,16,700,1,6819
89,3,1,92,48433,0,1,1,1,3500,4,500,1,6807
90,3,1,93,20508,0,1,1,1,22250,8,1250,5,6794
91,0,0,94,2000,0,1,1,1,2000,4,2000,4,6809
92,1,1,95,78629,0,4,1,1,36679,25,0,0,6817
93,3,1,96,143566,0,1,1,1,5000,5,1500,3,6785
94,1,1,97,185549,0,5,1,1,110859,39,2950,16,6778
95,0,0,98,16796,0,1,1,1,2875,16,0,0,6773
96,0,0,99,57346,0,1,1,1,5560,23,0,0,6766
97,2,0,100,102062,0,4,1,1,44247,16,0,0,6758
98,0,0,101,22324,0,1,1,1,1375,4,0,0,6753
99,1,1,102,64824,0,3,1,1,20184,13,0,0,6770
100,1,1,103,25076,1182,5,1,1,57203,14,0,0,6750
101,3,1,104,8053,0,1,1,1,0,0,0,0,6750
102,0,0,105,35119,0,1,1,1,0,0,0,0,6749
103,3,1,106,28667,0,1,1,1,3861,7,2050,5,6749
104,0,0,107,34327,0,1,1,1,0,0,0,0,6745
105,1,1,108,3734,0,5,1,1,61096,18,150,2,6760
106,3,1,109,96627,1182,1,1,3,49059,26,2300,9,6738
107,3,1,110,43498,0,1,1,1,0,0,0,0,6759
108,1,1,111,84674,0,4,1,1,46335,14,50,1,6738
109,1,1,112,15098,0,4,1,1,32917,26,550,3,6737
110,2,0,113,181019,0,3,1,1,18415,15,0,0,7714
111,3,1,114,298911,0,1,1,1,8550,11,2550,8,7714
112,2,0,115,124198,0,5,1,1,66330,23,4833,10,7710
113,3,1,116,56906,0,1,1,1,2015,13,0,0,7707
114,3,1,117,295638,0,1,1,1,5422,20,818,2,7700
115,2,0,118,67018,0,3,1,1,23260,25,0,0,7698
116,0,0,119,143967,0,2,1,1,7346,11,0,0,7689
117,3,1,120,969559,0,1,1,1,2500,3,1000,2,7718
118,1,1,121,122705,0,3,1,1,24222,15,0,0,7682
119,3,1,122,16583,0,1,1,1,2625,7,0,0,7682
120,0,0,123,77540,0,1,1,1,1000,1,0,0,7683
121,1,1,124,205126,0,5,1,1,126630,45,2250,10,7668
122,1,1,125,81974,0,4,1,1,37266,18,1050,3,7661
123,1,1,126,47258,0,3,1,1,24768,19,0,0,7659
124,2,0,127,77699,0,4,1,1,42775,13,0,0,7654
125,1,1,128,133954,500,4,1,1,37670,18,1500,3,7654
126,1,1,129,602064,0,5,1,1,194753,26,2250,10,7652
127,1,1,130,213150,0,4,1,1,56308,41,5200,14,7645
128,3,1,131,48333,0,2,1,1,10123,14,0,0,6737
129,1,1,132,142175,0,4,1,1,37461,22,0,0,6732
130,3,1,133,17469,0,1,1,1,0,0,0,0,6730
131,3,1,134,19823,0,1,1,1,1095,3,335,1,6730
132,3,1,135,145074,0,1,1,1,8000,4,0,0,6746
133,3,1,136,101101,0,1,1,1,10850,11,1850,6,6725
134,1,1,137,125948,0,3,1,1,15155,15,0,0,6761
135,3,1,138,259484,1776,1,1,1,19172,26,7172,23,6723
136,2,0,139,129298,0,4,1,1,29099,15,0,0,6722
137,1,1,140,103302,0,4,1,1,53552,22,700,3,6718
138,3,1,141,160447,0,1,1,1,8578,25,0,0,6716
139,0,0,142,15472,0,1,1,1,3500,14,0,0,6715
140,0,0,143,39628,0,1,1,1,0,0,0,0,6711
141,0,0,144,6112,0,1,1,1,0,0,0,0,6709
142,0,0,145,31769,0,1,1,1,450,2,450,2,6707
143,2,0,146,126787,0,4,1,1,35021,17,0,0,6701
144,2,0,147,41547,0,3,1,1,16857,17,0,0,6697
145,3,1,148,100640,0,1,1,1,7600,8,1600,5,6708
146,0,0,149,18707,0,1,1,1,100,1,0,0,6693
147,1,1,150,50593,0,5,1,1,58208,17,1500,2,6689
148,2,0,151,84631,0,3,1,1,20415,17,0,0,6736
149,0,0,152,24868,0,1,1,1,205,5,0,0,6689
150,1,1,153,77097,0,4,1,1,42403,22,1718,4,6683
151,1,1,154,930410,0,5,1,1,211284,18,2250,6,7640
152,2,0,155,298121,0,5,1,1,60808,20,500,1,7640
153,0,0,156,87474,0,1,1,1,4581,15,0,0,7634
154,1,1,157,48707,0,4,1,1,37655,14,0,0,7631
155,2,0,158,220081,0,4,1,1,52574,21,500,1,7626
156,2,0,159,212976,0,3,1,1,19926,12,0,0,7624
157,1,1,160,44182,0,3,1,1,12313,12,0,0,7619
158,1,1,161,228829,0,5,1,1,59852,21,0,0,7612
159,0,0,162,46823,0,1,1,1,5860,12,0,0,7613
160,2,0,163,69110,0,3,1,1,18500,19,0,0,7598
161,1,1,164,120700,0,5,1,1,55323,17,1500,1,7598
162,3,1,165,152945,0,1,1,1,18604,6,3604,2,7598
163,1,1,166,10302,0,4,1,1,30298,19,0,0,7591
164,1,1,167,80331,0,3,1,1,15489,18,0,0,7634
165,0,0,168,69882,0,1,1,1,180,6,0,0,7582
166,0,0,169,95658,0,1,1,1,5269,18,0,0,7584
167,1,1,170,402874,0,5,1,1,74800,15,0,0,7582
168,1,1,171,370941,0,4,1,1,44615,16,0,0,7577
169,1,1,172,21694,0,4,1,1,45230,20,700,2,7575
170,1,1,173,71767,0,5,1,1,67335,13,0,0,7570
171,0,0,174,35820,0,1,1,1,0,0,0,0,7575
172,1,1,175,352508,0,3,1,1,23740,6,1000,2,7563
173,3,1,176,149285,0,1,1,1,15656,13,3250,6,7561
174,2,0,177,120941,0,4,1,1,42301,21,0,0,7588
175,1,1,178,451673,0,4,1,1,43533,19,900,4,7575
176,3,1,179,106961,0,1,1,1,7357,19,200,2,7572
177,3,1,180,28086,1745,2,1,1,7368,12,0,0,7549
178,3,1,181,60230,0,1,1,1,500,1,0,0,7544
179,3,1,182,6663,0,1,1,1,1125,7,750,4,7575
180,0,0,183,48145,0,1,1,1,10735,27,0,0,7540
181,1,1,184,127807,0,3,1,1,17086,16,1500,3,7537
182,0,0,186,32948,0,1,1,1,50,1,50,1,7569
183,3,1,187,8933,0,2,1,1,8860,14,0,0,7533
184,2,0,188,49885,0,3,1,1,23640,17,0,0,7533
185,2,0,189,89999,0,3,1,1,11694,13,0,0,7530
186,1,1,190,707079,0,4,1,1,57173,40,3450,12,7523
187,0,0,191,211595,0,1,1,1,3250,8,0,0,7521
188,2,0,192,410795,0,5,1,1,73679,31,0,0,7514
189,0,0,193,72173,0,1,1,1,2954,13,232,1,7509
190,1,1,194,123516,0,5,1,1,240544,31,500,2,7507
191,1,1,195,143080,733,4,1,1,44373,38,3928,17,7575
192,1,1,196,386061,0,5,1,1,107813,24,0,0,7500
193,0,0,197,52738,2398,1,1,1,0,0,0,0,7498
194,3,1,198,24523,0,1,1,1,100,1,0,0,7493
195,0,0,199,134601,0,1,1,1,0,0,0,0,7493
196,1,1,200,32742,0,5,1,1,61857,26,0,0,7488
197,2,0,201,108341,0,3,1,1,19670,21,0,0,7488
198,3,1,202,8669,0,1,3,1,11397,16,0,0,7486
199,1,1,203,118940,0,4,1,1,36001,17,150,1,7484
200,1,1,204,41385,0,4,1,1,26948,14,0,0,7481
201,3,1,205,28621,0,2,1,1,13878,20,1400,10,7479
202,0,0,206,16230,0,1,1,1,486,2,0,0,7477
203,1,1,207,152881,0,5,1,1,79687,18,500,1,7474
204,0,0,208,37348,0,1,1,1,0,0,0,0,7472
205,0,0,209,51468,0,1,1,1,2278,9,0,0,7460
206,1,1,210,95989,0,5,1,1,92159,30,1329,4,7518
207,3,1,211,23184,1250,1,1,1,3694,12,1150,3,7467
208,1,1,212,27381,0,3,1,1,18009,18,0,0,7524
209,0,0,213,6854,0,1,1,1,0,0,0,0,7467
210,1,1,214,201346,0,5,1,1,99612,34,600,4,7463
211,0,0,215,31588,0,1,1,1,2947,8,0,0,7463
212,0,0,216,204582,0,1,1,1,4671,14,0,0,7498
213,1,1,217,8298,0,3,1,1,20087,15,0,0,7498
214,0,0,218,10097,0,1,1,1,2700,1,2700,1,7498
215,2,0,219,114356,0,4,1,1,27308,14,0,0,7456
216,0,0,220,1344,0,1,1,1,1134,9,0,0,7498
217,0,0,221,59797,0,1,1,1,7069,4,0,0,7444
218,1,1,222,189053,0,3,1,1,24156,22,0,0,7439
219,2,0,223,143481,0,4,1,1,45891,15,0,0,7437
220,1,1,224,1302051,2706,5,1,1,90653,32,3050,7,7467
221,1,1,225,229744,0,5,1,1,68754,35,550,2,7467
222,3,1,226,75039,0,1,1,1,2750,10,250,1,7435
223,0,0,227,20203,0,1,1,1,750,6,0,0,7467
224,2,0,228,193976,0,3,1,1,10849,14,0,0,7416
225,0,0,229,98224,0,2,1,1,5570,11,0,0,7467
226,3,1,230,117329,0,1,2,1,6448,11,0,0,7416
227,1,1,231,119239,0,4,1,1,36362,15,250,1,7467
228,0,0,232,53715,0,2,1,1,7164,15,300,2,7416
229,2,0,233,153747,0,5,1,1,58689,15,0,0,7409
230,1,1,234,133309,0,3,1,1,23987,13,0,0,7415
231,1,1,235,81380,0,5,1,1,56524,22,0,0,7404
232,0,0,236,22074,0,1,1,1,6039,15,0,0,7404
233,3,1,237,24051,0,2,1,1,8764,13,0,0,7395
234,3,1,238,11449,0,2,1,1,9057,13,0,0,7397
235,3,1,239,182317,0,2,1,1,19489,17,273,1,7397
236,0,0,240,46184,0,1,1,1,3125,12,500,1,7388
237,3,1,241,285116,0,1,1,1,8471,18,500,1,7406
238,1,1,242,30962,0,5,1,1,97683,37,6400,18,7360
239,0,0,243,15525,0,1,1,1,3853,6,0,0,7406
240,2,0,244,163530,0,5,1,1,88987,25,0,0,7406
241,3,1,245,2075,0,2,1,1,5002,14,0,0,7374
242,2,0,246,227881,0,4,1,1,41186,13,0,0,7369
243,2,0,247,118934,0,5,1,1,66222,37,2250,17,7354
244,1,1,248,468175,0,5,1,1,141615,22,0,0,7348
245,1,1,249,12526,0,4,1,1,56076,19,3850,11,7375
246,0,0,250,176090,0,1,1,1,5300,9,2200,6,7344
247,3,1,251,15221,0,1,1,1,4425,9,0,0,7361
248,1,1,252,92875,0,5,1,1,60990,14,0,0,7344
249,0,0,253,88702,0,2,1,1,9620,13,50,1,7406
250,0,0,254,62882,0,1,1,1,1925,8,0,0,7375
251,0,0,255,30015,0,1,1,1,5875,32,0,0,7341
252,2,0,256,87293,0,3,1,1,21584,17,1050,2,7406
253,1,1,257,45225,0,3,1,1,14711,15,0,0,7339
254,3,1,258,96098,0,1,1,1,12500,4,0,0,7339
255,2,0,259,236274,0,5,1,1,61515,12,0,0,7375
256,0,0,260,423540,0,1,1,1,8534,14,2100,9,7375
257,3,1,261,25279,0,2,1,1,14938,26,0,0,7327
258,0,0,262,198137,0,1,1,1,6303,6,500,1,7323
259,1,1,263,402312,0,5,1,1,77122,18,250,3,7375
260,0,0,264,149733,0,1,1,1,605,3,500,1,7323
261,0,0,265,70730,0,1,1,1,1319,12,0,0,7316
262,0,0,266,164613,0,2,1,1,11095,13,0,0,7375
263,0,0,267,47557,0,2,1,1,10267,18,200,3,7345
264,3,1,268,35065,0,1,1,1,5400,5,1400,3,7311
265,1,1,269,105769,0,3,1,1,23097,16,0,0,7345
266,0,0,270,35900,0,1,1,1,0,0,0,0,7304
267,0,0,271,43088,0,1,1,1,4000,1,0,0,7345
268,1,1,272,58703,0,4,1,1,46473,34,950,4,7296
269,1,1,273,70354,0,5,1,1,120907,22,0,0,7290
270,1,1,274,145726,0,3,1,1,19019,15,0,0,7292
271,1,1,275,121639,0,5,1,1,67286,7,0,0,7288
272,1,1,276,70676,0,5,1,1,74993,15,0,0,7288
273,0,0,277,18263,0,1,1,1,2100,4,1000,2,7285
274,0,0,278,51250,0,1,1,1,0,0,0,0,7283
275,3,1,279,1704838,0,1,1,1,17108,32,4823,23,7283
276,0,0,280,12895,0,1,1,1,0,0,0,0,7277
277,1,1,281,120073,0,3,1,1,12423,29,0,0,7276
278,0,0,282,2003,0,1,1,1,980,2,0,0,7274
279,1,1,283,22652,0,5,1,1,57642,14,0,0,7271
280,0,0,284,168515,0,1,1,1,4600,4,0,0,7269
281,1,1,285,44873,0,4,1,1,38740,18,850,2,7267
282,0,0,286,190542,1745,1,1,1,8487,9,0,0,7267
283,3,1,287,156230,0,1,1,1,5300,8,1300,5,7260
284,1,1,288,79211,0,4,1,1,36776,14,0,0,7260
285,1,1,289,98006,0,4,1,1,46349,20,2309,3,7332
286,1,1,290,33982,0,5,1,1,68320,17,0,0,7255
287,2,0,291,62998,0,2,1,1,11326,24,0,0,7253
288,1,1,292,137908,0,5,1,1,57713,19,0,0,7250
289,2,0,293,45586,0,4,1,1,37459,15,0,0,7246
290,1,1,294,568174,0,5,1,1,67121,16,1000,2,7243
291,1,1,295,145993,0,5,1,1,95082,17,500,1,7229
292,1,1,296,294881,0,5,1,1,84800,20,0,0,7279
293,0,0,297,12195,0,1,1,1,3875,17,0,0,7229
294,0,0,298,16622,0,1,1,1,0,0,0,0,7229
295,2,0,299,141813,0,4,1,1,39743,14,0,0,7254
296,1,1,300,58139,500,4,1,1,38408,16,150,1,7227
297,2,0,301,238868,0,3,1,1,20521,16,0,0,7220
298,1,1,302,149286,0,4,1,1,42141,30,2400,13,7222
299,0,0,303,35945,0,1,1,1,0,0,0,0,7220
300,3,1,304,28218,0,1,1,1,750,4,750,4,7232
301,0,0,305,7061,0,1,1,1,7100,12,0,0,7218
302,1,1,306,217846,0,4,1,1,49198,20,0,0,7215
303,2,0,307,364387,0,4,1,1,28200,27,0,0,7213
304,2,0,308,125465,0,3,1,1,14750,9,0,0,7206
305,1,1,309,94222,0,4,1,1,52081,24,0,0,7201
306,0,0,310,123370,0,1,1,1,7478,16,0,0,7197
307,3,1,311,383030,2998,1,1,1,8001,25,3226,15,7326
308,0,0,312,112969,0,2,1,1,7572,7,0,0,7192
309,0,0,313,46430,0,1,1,1,2100,4,500,1,7194
310,2,0,314,179433,0,4,1,1,30476,15,0,0,7187
311,1,1,315,20746,0,4,1,1,37534,17,0,0,7185
312,1,1,316,61455,0,4,1,1,28765,17,0,0,7183
313,1,1,317,714717,0,5,1,1,119162,20,1750,4,7183
314,1,1,318,179559,0,3,1,1,17819,12,1000,2,7173
315,3,1,319,119977,2556,1,1,1,9275,16,1400,4,7226
316,0,0,320,16928,0,1,1,1,1000,1,0,0,7173
317,0,0,321,65316,0,1,1,1,3917,10,0,0,7254
318,3,1,322,766419,0,1,1,1,11398,3,398,1,7162
319,3,1,323,52060,0,1,1,1,6500,3,0,0,7162
320,2,0,324,84700,0,3,1,1,13544,17,0,0,7162
321,1,1,325,205523,0,3,1,1,32404,20,1000,2,7159
322,1,1,326,20457,0,4,1,1,51399,16,0,0,7193
323,3,1,327,278727,0,1,1,1,21666,19,9166,16,7155
324,2,0,328,50325,0,3,1,1,11930,14,0,0,7155
325,3,1,329,455228,0,1,1,1,258,2,258,2,7141
326,2,0,330,73849,0,2,1,1,11793,21,0,0,7250
327,1,1,331,388455,0,5,1,1,114329,26,6078,8,7164
328,1,1,332,138999,0,5,1,1,63738,29,600,4,7153
329,0,0,333,65573,0,1,1,1,3875,23,0,0,7130
330,1,1,334,172288,0,5,1,1,66879,10,0,0,7130
331,0,0,335,47958,0,1,1,1,0,0,0,0,7130
332,2,0,337,133002,0,3,1,1,15672,21,150,1,7117
333,3,1,338,42363,0,1,1,1,0,0,0,0,7120
334,1,1,339,133370,0,4,1,1,44299,18,0,0,7101
335,1,1,340,278457,6727,4,1,1,57313,27,1000,2,7101
336,2,0,341,105166,1374,4,1,1,37663,22,0,0,7120
337,0,0,342,34956,0,1,1,1,0,0,0,0,7172
338,0,0,343,46963,0,1,1,1,1500,5,0,0,7117
339,2,0,344,55788,0,3,1,1,24831,12,0,0,7314
340,1,1,345,174910,0,4,1,1,63960,20,200,1,7110
341,3,1,346,13812,0,2,1,1,15149,39,0,0,7110
342,0,0,347,38718,0,1,1,1,0,0,0,0,7314
343,0,0,348,112501,0,1,1,2,19140,11,0,0,7101
344,0,0,349,54005,0,1,1,1,1500,5,0,0,7099
345,1,1,350,66863,0,4,1,1,36532,9,0,0,7099
346,2,0,351,93045,0,3,1,1,17636,15,0,0,7092
347,2,0,352,197328,0,5,1,1,60447,12,0,0,7092
348,2,0,353,151301,0,4,1,1,37772,14,0,0,7092
349,3,1,354,87938,0,1,1,1,11268,2,0,0,7085
350,0,0,355,15283,0,1,1,1,1250,3,0,0,7132
351,2,0,356,105423,0,3,1,1,20802,14,0,0,7078
352,0,0,357,312512,0,1,1,1,100,1,100,1,7078
353,3,1,358,13680,0,1,1,1,0,0,0,0,7073
354,2,0,359,41279,0,3,1,1,14462,20,1650,6,7064
355,0,0,360,25313,0,2,1,1,7491,13,0,0,7064
356,0,0,361,148691,0,1,1,1,3000,3,1000,2,7064
357,2,0,362,224081,0,4,1,1,40108,15,150,2,7059
358,0,0,363,51088,0,1,1,1,0,0,0,0,7057
359,0,0,364,95305,0,1,1,1,3189,13,0,0,7054
360,3,1,365,22080,0,1,1,1,12200,47,1950,9,7050
361,0,0,366,11660,0,1,1,1,140,1,0,0,7050
362,1,1,367,222227,0,4,1,1,38127,14,500,1,7047
363,0,0,368,16200,0,1,1,1,160,1,0,0,7043
364,0,0,369,38227,0,2,1,1,8612,13,0,0,7036
365,3,1,370,80214,0,1,1,1,500,1,500,1,7029
366,3,1,371,53985,0,1,1,1,1000,1,0,0,7029
367,0,0,372,14414,0,1,1,1,0,0,0,0,7024
368,0,0,373,44457,0,1,1,1,225,3,0,0,7026
369,1,1,374,161813,0,5,1,1,126941,20,0,0,7026
370,3,1,375,138020,0,1,1,1,6568,15,0,0,7024
371,2,0,376,107707,0,3,1,1,19407,25,2211,12,7024
372,1,1,377,95656,0,5,1,1,62666,27,0,0,7019
373,0,0,378,149678,0,1,1,1,0,0,0,0,7022
374,3,1,379,15113,0,2,1,1,10574,19,0,0,7017
375,3,1,380,231,0,1,1,1,29900,24,5300,15,7015
376,0,0,381,22380,0,1,1,1,300,2,200,1,7010
377,1,1,382,146263,0,3,1,1,20853,21,350,1,7001
378,0,0,383,24598,0,1,1,1,0,0,0,0,7040
379,2,0,384,76150,0,4,1,1,36907,17,0,0,6998
380,1,1,385,377252,0,5,1,1,230629,30,6393,13,6996
381,0,0,386,167670,0,1,3,1,15907,13,0,0,6994
382,2,0,387,86853,0,4,1,1,42293,21,500,1,6980
383,2,0,388,479989,0,4,1,1,66516,26,1600,6,6980
384,1,1,389,28193,0,5,1,4,103456,32,0,0,6980
385,2,0,390,67086,0,3,1,1,18157,16,0,0,6974
386,0,0,391,35969,0,2,1,1,11665,21,0,0,6977
387,1,1,393,53790,0,4,1,1,28717,19,0,0,8296
388,2,0,394,198859,0,3,1,1,17855,14,500,1,8296
389,0,0,395,91939,0,1,1,1,1244,8,0,0,8296
390,2,0,396,88449,0,2,1,1,11402,18,1450,5,8296
391,1,1,397,54842,0,3,1,1,20792,15,0,0,8296
392,3,1,398,11189,0,1,2,1,9044,20,0,0,8296
393,0,0,399,16999,0,1,1,1,140,1,0,0,8296
394,0,0,400,114713,0,1,1,1,7142,18,0,0,8296
395,0,0,401,1612,0,1,1,1,955,9,0,0,8296
396,0,0,402,97763,0,1,1,1,2000,9,0,0,8296
397,0,0,403,15129,0,1,1,1,0,0,0,0,8296
398,0,0,404,15669,0,1,1,1,1205,4,0,0,8296
399,0,0,405,26720,0,1,1,1,913,3,0,0,8296
400,2,0,406,205292,0,2,1,1,5471,13,0,0,8296
401,0,0,407,56635,0,1,1,1,1024,8,359,2,8296
402,2,0,408,127297,0,2,1,1,8510,12,0,0,8296
403,0,0,409,8927,0,1,1,1,0,0,0,0,8296
404,1,1,410,507506,1952,5,1,1,102279,32,4485,13,8296
405,1,1,411,145723,0,5,1,1,59858,16,0,0,8296
406,0,0,412,6458,0,1,1,1,0,0,0,0,8296
407,3,1,413,267640,0,1,1,1,6000,3,0,0,8296
408,0,0,414,5581,0,1,1,1,0,0,0,0,8296
409,0,0,415,10732,0,1,1,1,1296,6,0,0,8296
410,1,1,416,620498,0,5,1,1,25395,53,1750,14,8296
411,2,0,417,68963,0,4,1,1,37723,15,0,0,8296
412,1,1,418,109640,0,4,1,1,66983,38,5500,17,8296
413,1,1,419,225802,0,5,1,1,74340,16,200,2,8296
414,0,0,420,58452,0,1,1,1,0,0,0,0,8296
415,3,1,421,109087,0,2,1,1,10462,16,0,0,8296
416,1,1,422,68286,0,3,1,1,22831,13,0,0,8296
417,3,1,423,68464,0,1,1,1,240,3,0,0,8296
418,2,0,424,131960,2000,3,1,1,16081,8,0,0,8296
419,0,0,425,199956,1178,1,1,1,0,0,0,0,8296
420,3,1,426,529886,7210,1,1,1,23866,26,7741,15,8296
421,0,0,427,23529,0,1,1,1,500,1,0,0,8296
422,2,0,428,190295,0,4,1,1,3501,15,0,0,8296
423,1,1,429,21083,0,5,1,1,129330,16,1000,2,8296
424,1,1,430,117860,0,5,1,1,62758,15,0,0,8296
425,1,1,431,118844,0,4,1,1,28731,17,400,2,8289
426,0,0,432,60493,0,1,1,1,9000,1,0,0,8289
427,1,1,433,491987,0,5,1,1,68007,23,700,2,8289
428,0,0,434,87692,0,1,1,1,2310,6,500,1,8289
429,2,0,435,78028,0,4,1,1,36269,24,0,0,8289
430,3,1,436,251286,0,1,1,1,0,0,0,0,8289
431,3,1,437,17575,0,1,1,1,0,0,0,0,8289
432,3,1,438,50431,0,1,1,1,1000,1,0,0,8289
433,2,0,439,153597,0,5,1,1,56567,18,0,0,8289
434,3,1,440,74579,0,1,1,1,4600,11,600,8,8289
435,0,0,441,2494,0,1,1,1,0,0,0,0,8289
436,2,0,442,96031,0,4,1,1,46588,21,0,0,8289
437,1,1,443,353678,0,4,1,1,141230,28,1450,5,8289
438,1,1,444,50052,0,4,1,1,49383,13,0,0,8289
439,0,0,445,13381,0,1,1,1,1000,8,0,0,8289
440,0,0,446,25123,0,1,1,1,2030,6,0,0,8289
441,1,1,447,132555,0,3,1,1,24775,31,350,1,8289
442,0,0,448,14528,0,1,1,1,6000,7,3000,6,8289
443,2,0,449,24038,0,2,1,1,6290,14,0,0,8289
444,1,1,450,192104,0,3,1,1,39010,53,1750,8,8289
