prog,id,sex,ses,schtyp,read,write,math,science,honors
academic,34,female,high,private,73,61,57,55,enrolled
academic,33,female,low,public,57,65,72,54,enrolled
vocation,32,female,high,public,50,67,66,66,enrolled
academic,114,male,high,public,68,65,62,55,enrolled
academic,125,female,low,public,68,65,58,59,enrolled
academic,59,female,middle,public,65,67,63,55,enrolled
academic,23,female,low,public,65,65,64,58,enrolled
academic,161,female,low,public,57,62,72,61,enrolled
academic,103,male,high,public,76,52,64,64,not enrolled
academic,194,female,high,private,63,63,69,61,enrolled
academic,136,male,middle,public,65,59,70,63,not enrolled
academic,154,male,high,public,65,65,66,61,enrolled
general,157,male,middle,public,68,59,58,74,not enrolled
academic,93,female,high,public,73,67,62,58,enrolled
academic,39,female,high,public,66,67,67,61,enrolled
academic,88,female,high,public,68,60,64,69,enrolled
academic,192,male,high,private,65,67,63,66,enrolled
academic,80,male,high,public,65,62,68,66,enrolled
academic,200,male,middle,private,68,54,75,66,not enrolled
academic,180,female,high,private,71,65,69,58,enrolled
academic,82,female,high,public,68,62,65,69,enrolled
academic,174,male,middle,private,68,59,71,66,not enrolled
academic,95,male,high,public,73,60,71,61,enrolled
academic,61,female,high,public,76,63,60,67,enrolled
academic,100,female,high,public,63,65,71,69,enrolled
vocation,143,male,middle,public,63,63,75,72,enrolled
academic,68,male,middle,public,73,67,71,63,enrolled
academic,57,female,middle,public,71,65,72,66,enrolled
academic,132,male,middle,public,73,62,73,69,enrolled
